Timestamp,Current Status,2. Age,3. Gender,caffeine_per_day,5. The most consumed type of caffeine drinks,6. Timing of caffeine consumption (most common time),caffeine_after_8pm,fast_food_per_week,9. Regularity of meal schedules,eat_after_10pm,sleep_hours,sleep_quality,physical_activity_days,screen_hours,low_energy_frequency
2/4/2026 15:32:15,Student,18 - 22,Female,1.5,"Coffee, tea",Morning,1,5.0,Semi-regular,1,9.0,3,0.0,9.0,3.0
2/4/2026 15:34:14,Student,18 - 22,Female,0.0,tea,Afternoon,0,1.5,Irregular,1,,3,3.5,9.0,3.0
2/4/2026 15:42:18,Employee,28 - 35,Female,1.5,"Coffee, Soft strings",Morning,1,5.0,Semi-regular,1,,2,1.5,9.0,
2/4/2026 15:49:20,Student,18 - 22,Female,1.5,"Coffee, Energy drinks",Night,1,1.5,Irregular,2,,1,3.5,9.0,3.0
2/4/2026 15:53:41,Student,28 - 35,Female,1.5,Coffee,Evening,1,5.0,Regular,1,,2,1.5,9.0,
2/4/2026 15:54:53,Student,23 - 27,Female,0.0,Coffee,Afternoon,0,1.5,Irregular,2,,2,1.5,9.0,
2/4/2026 15:56:53,Student,18 - 22,Male,1.5,"Coffee, Energy drinks",Morning,0,0.0,Regular,1,,4,5.0,,
2/4/2026 16:10:57,Student,18 - 22,Female,1.5,"Coffee, tea",Morning,1,5.0,Semi-regular,1,,2,3.5,,
2/4/2026 16:13:56,Employee,28 - 35,Male,,Coffee,Morning,1,5.0,Irregular,2,4.0,1,5.0,9.0,3.0
2/4/2026 16:20:15,Student,18 - 22,Male,1.5,"Coffee, tea",Morning,0,3.5,Semi-regular,1,,1,0.0,9.0,3.0
2/4/2026 16:20:22,Student,18 - 22,Female,1.5,"Coffee, tea",Morning,0,1.5,Regular,2,,3,3.5,,
2/4/2026 16:22:16,Other,23 - 27,Female,1.5,Coffee,Morning,0,1.5,Semi-regular,0,,3,3.5,,3.0
2/4/2026 16:22:57,Student,18 - 22,Male,0.0,tea,Night,1,1.5,Semi-regular,1,,3,1.5,,
2/4/2026 16:24:19,Student,23 - 27,Male,1.5,Coffee,Morning,0,1.5,Semi-regular,1,,3,3.5,,
2/4/2026 16:24:56,Other,23 - 27,Male,1.5,Coffee,Morning,0,3.5,Irregular,1,,1,1.5,,3.0
2/4/2026 16:35:22,Student,18 - 22,Female,1.5,"Coffee, tea",Evening,0,0.0,Semi-regular,2,,2,1.5,,3.0
2/4/2026 17:03:14,Student,23 - 27,Female,1.5,Coffee,Evening,0,1.5,Semi-regular,1,,2,1.5,9.0,
2/4/2026 18:16:25,Employee,28 - 35,Female,,Coffee,Morning,1,5.0,Irregular,2,,1,0.0,,3.0
2/4/2026 18:49:56,Student,18 - 22,Female,1.5,"Coffee, Energy drinks",Night,1,1.5,Semi-regular,1,,2,5.0,9.0,3.0
2/4/2026 18:56:58,Employee,28 - 35,Female,0.0,tea,Night,0,3.5,Irregular,1,,4,0.0,,
2/4/2026 18:59:33,Other,23 - 27,Female,,"Coffee, Energy drinks, Soft strings",Morning,0,3.5,Irregular,1,,2,0.0,9.0,3.0
2/4/2026 19:02:43,Employee,23 - 27,Female,,"Coffee, Energy drinks",Morning,1,1.5,Regular,1,,2,3.5,,
2/4/2026 19:05:54,Other,36+,Female,,"Coffee, Soft strings",Morning,0,5.0,Irregular,1,9.0,2,0.0,9.0,3.0
2/4/2026 19:09:42,Employee,23 - 27,Female,1.5,Coffee,Morning,1,3.5,Irregular,1,,3,1.5,9.0,3.0
2/4/2026 19:13:56,Other,23 - 27,Female,,"Coffee, Energy drinks",Morning,1,5.0,Irregular,2,,2,1.5,9.0,3.0
2/4/2026 19:21:34,Student,18 - 22,Male,1.5,Coffee,Morning,1,5.0,Irregular,1,,2,0.0,,3.0
2/4/2026 19:25:00,Employee,23 - 27,Female,1.5,"Coffee, Soft strings",Morning,0,3.5,Semi-regular,1,,3,0.0,,3.0
2/4/2026 19:25:14,Student,18 - 22,Male,0.0,Soft strings,Night,1,5.0,Semi-regular,1,,3,0.0,9.0,
