Timestamp,Current Status,2. Age,3. Gender,4. Number of caffeine drinks per day,5. The most consumed type of caffeine drinks,6. Timing of caffeine consumption (most common time),7. Caffeine consumption after 8 pm,8. Number of fast food per week,9. Regularity of meal schedules,10. Eat after 10 pm,11. Average number of hours of sleep per night,12. Sleep Quality Assessment,13. Number of days of physical activity per week,14. Number of hours of screen use per day,15. How often do you feel low energy during the day?
2/4/2026 15:32:15,Student,18 - 22,Female,1-2,"Coffee, tea",Morning,yes ,more than 4,Semi-regular,Sometimes,more than 8,good,0,more than 8,mostly
2/4/2026 15:34:14,Student,18 - 22,Female,0,tea,Afternoon,no ,1-2,Irregular,Sometimes,7–8,good,3-4,more than 8,mostly
2/4/2026 15:42:18,Employee,28 - 35,Female,1-2,"Coffee, Soft strings",Morning,yes ,more than 4,Semi-regular,Sometimes,5–6,average,1-2,more than 8,Sometimes
2/4/2026 15:49:20,Student,18 - 22,Female,1-2,"Coffee, Energy drinks",Night,yes ,1-2,Irregular,mostly,5–6,bad ,3-4,more than 8,mostly
2/4/2026 15:53:41,Student,28 - 35,Female,1-2,Coffee,Evening,yes ,more than 4,Regular,Sometimes,5–6,average ,1-2,more than 8,Sometimes
2/4/2026 15:54:53,Student,23 - 27,Female,0,Coffee,Afternoon,no ,1-2,Irregular,mostly,5–6,average ,1-2,more than 8,Sometimes
2/4/2026 15:56:53,Student,18 - 22,Male,1-2,"Coffee, Energy drinks",Morning,no ,0,Regular,Sometimes,7–8,Excellent,5+,3–5,Sometimes
2/4/2026 16:10:57,Student,18 - 22,Female,1-2,"Coffee, tea",Morning,yes ,more than 4,Semi-regular,Sometimes,5–6,average ,3-4,6–8,Sometimes
2/4/2026 16:13:56,Employee,28 - 35,Male,3-4,Coffee,Morning,yes ,more than 4,Irregular,mostly,less than 5,bad ,5+,more than 8,mostly
2/4/2026 16:20:15,Student,18 - 22,Male,1-2,"Coffee, tea",Morning,no ,3-4,Semi-regular,Sometimes,5–6,bad ,0,more than 8,mostly
2/4/2026 16:20:22,Student,18 - 22,Female,1-2,"Coffee, tea",Morning,no ,1-2,Regular,mostly,7–8,good,3-4,3–5,Rarely
